optimizer,epochs,batch_size
adam,5,8
adam,5,16
adam,5,32
adam,5,64
adam,10,8
adam,10,16
adam,10,32
adam,10,64
adam,15,8
adam,15,16
adam,15,32
adam,15,64
adam,20,8
adam,20,16
adam,20,32
adam,20,64
adam,25,8
adam,25,16
adam,25,32
adam,25,64
