optimizer,epochs,batch_size
rmsprop,5,8
rmsprop,5,16
rmsprop,5,32
rmsprop,5,64
rmsprop,10,8
rmsprop,10,16
rmsprop,10,32
rmsprop,10,64
rmsprop,15,8
rmsprop,15,16
rmsprop,15,32
rmsprop,15,64
rmsprop,20,8
rmsprop,20,16
rmsprop,20,32
rmsprop,20,64
rmsprop,25,8
rmsprop,25,16
rmsprop,25,32
rmsprop,25,64
